user_id,session_id,timestamp,event,device,region
1000,S1000,2024-05-05 07:08:00,search,mobile,UK
1000,S1000,2024-05-05 07:08:00,view_flights,mobile,UK
1000,S1000,2024-05-05 07:08:00,select_flight,mobile,UK
1000,S1000,2024-05-05 07:08:00,add_bags,mobile,UK
1001,S1001,2024-01-17 00:05:00,search,mobile,IL
1001,S1001,2024-01-17 00:05:00,view_flights,mobile,IL
1001,S1001,2024-01-17 00:05:00,select_flight,mobile,IL
1001,S1001,2024-01-17 00:05:00,add_bags,mobile,IL
1001,S1001,2024-01-17 00:05:00,checkout,mobile,IL
1002,S1002,2024-01-14 17:12:00,search,mobile,PH
1002,S1002,2024-01-14 17:12:00,view_flights,mobile,PH
1002,S1002,2024-01-14 17:12:00,select_flight,mobile,PH
1002,S1002,2024-01-14 17:12:00,add_bags,mobile,PH
1002,S1002,2024-01-14 17:12:00,checkout,mobile,PH
1002,S1002,2024-01-14 17:12:00,confirmation,mobile,PH
1003,S1003,2024-10-28 08:51:00,search,desktop,ZA
1003,S1003,2024-10-28 08:51:00,view_flights,desktop,ZA
1003,S1003,2024-10-28 08:51:00,select_flight,desktop,ZA
1003,S1003,2024-10-28 08:51:00,add_bags,desktop,ZA
1003,S1003,2024-10-28 08:51:00,checkout,desktop,ZA
1004,S1004,2024-05-22 04:13:00,search,mobile,PL
1004,S1004,2024-05-22 04:13:00,view_flights,mobile,PL
1004,S1004,2024-05-22 04:13:00,select_flight,mobile,PL
1004,S1004,2024-05-22 04:13:00,add_bags,mobile,PL
1005,S1005,2024-02-19 11:54:00,search,mobile,FR
1005,S1005,2024-02-19 11:54:00,view_flights,mobile,FR
1005,S1005,2024-02-19 11:54:00,select_flight,mobile,FR
1005,S1005,2024-02-19 11:54:00,add_bags,mobile,FR
1005,S1005,2024-02-19 11:54:00,checkout,mobile,FR
1006,S1006,2024-10-01 03:59:00,search,desktop,CA
1006,S1006,2024-10-01 03:59:00,view_flights,desktop,CA
1006,S1006,2024-10-01 03:59:00,select_flight,desktop,CA
1006,S1006,2024-10-01 03:59:00,add_bags,desktop,CA
1006,S1006,2024-10-01 03:59:00,checkout,desktop,CA
1007,S1007,2024-11-17 19:56:00,search,mobile,EG
1007,S1007,2024-11-17 19:56:00,view_flights,mobile,EG
1007,S1007,2024-11-17 19:56:00,select_flight,mobile,EG
1007,S1007,2024-11-17 19:56:00,add_bags,mobile,EG
1008,S1008,2024-12-04 07:49:00,search,mobile,DE
1008,S1008,2024-12-04 07:49:00,view_flights,mobile,DE
1009,S1009,2024-07-13 08:29:00,search,mobile,ZA
1009,S1009,2024-07-13 08:29:00,view_flights,mobile,ZA
1010,S1010,2024-04-17 21:17:00,search,mobile,IE
1010,S1010,2024-04-17 21:17:00,view_flights,mobile,IE
1010,S1010,2024-04-17 21:17:00,select_flight,mobile,IE
1010,S1010,2024-04-17 21:17:00,add_bags,mobile,IE
1011,S1011,2024-03-24 14:24:00,search,mobile,TR
1011,S1011,2024-03-24 14:24:00,view_flights,mobile,TR
1011,S1011,2024-03-24 14:24:00,select_flight,mobile,TR
1012,S1012,2024-04-27 01:51:00,search,mobile,SE
1012,S1012,2024-04-27 01:51:00,view_flights,mobile,SE
1013,S1013,2024-04-18 18:56:00,search,desktop,NZ
1013,S1013,2024-04-18 18:56:00,view_flights,desktop,NZ
1014,S1014,2024-11-25 14:09:00,search,mobile,MY
1014,S1014,2024-11-25 14:09:00,view_flights,mobile,MY
1014,S1014,2024-11-25 14:09:00,select_flight,mobile,MY
1014,S1014,2024-11-25 14:09:00,add_bags,mobile,MY
1014,S1014,2024-11-25 14:09:00,checkout,mobile,MY
1015,S1015,2024-10-02 08:47:00,search,mobile,RU
